symbol,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,CIK
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",896159
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",313927
CI,CIGNA Corp.,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",701221
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",1168054
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",20286
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",723254
CSCO,Cisco Systems,Information Technology,Networking Equipment,"San Jose, California",858877
C,Citigroup Inc.,Financials,Banks,"New York, New York",831001
CFG,Citizens Financial Group,Financials,Banks,"Providence, Rhode Island",759944
CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",877890
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",21076
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",1156375
CMS,CMS Energy,Utilities,MultiUtilities,"Jackson, Michigan",811156
COH,Coach Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1116132
KO,Coca Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",21344
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",21665
CMCSA,Comcast A Corp,Consumer Discretionary,Cable & Satellite,"Philadelphia, Pennsylvania",1166691
CMA,Comerica Inc.,Financials,Regional Banks,"Dallas, Texas",28412
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",23217
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",1358071
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1163165
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",1047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",16918
GLW,Corning Inc.,Industrials,Construction & Engineering,"Corning, New York",24741
COST,Costco Co.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",909832
COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, NY",1024305
CCI,Crown Castle International Corp.,Real Estate,REITs,"Houston, Texas",1051470
CSRA,CSRA Inc.,Information Technology,IT Consulting & Other Services,"Falls Church, Virginia",1646383
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",277948
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",26172
CVS,CVS Health,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",64803
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",882184
DHR,Danaher Corp.,Industrials,Industrial Machinery,"Washington, D.C.",313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",940944
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",927066
DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",315189
DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",1521332
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",27904
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",818479
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1090012
DLR,Digital Realty Trust,Real Estate,Specialized REITs,"San Francisco, California",1297996
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",1393612
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",1437107
DISCK,Discovery Communications-C,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",1437107
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",29534
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",935703
D,Dominion Resources,Utilities,Electric Utilities,"Richmond, Virginia",715957
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",29905
DOW,Dow Chemical,Materials,Diversified Chemicals,"Midland, Michigan",29915
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,"Plano, Texas",1418135
DTE,DTE Energy Co.,Utilities,MultiUtilities,"Detroit, Michigan",936340
DD,Du Pont (E.I.),Materials,Diversified Chemicals,"Wilmington, Delaware",30554
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1326160
DNB,Dun & Bradstreet,Industrials,Data Processing Services,"Short Hills, New Jersey",1115222
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",1015780
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",915389
ETN,Eaton Corporation,Industrials,Industrial Conglomerates,"Dublin, Ireland",1551182
EBAY,eBay Inc.,Information Technology,Internet Software & Services,"San Jose, California",1065088
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",31462
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",1099800
EA,Electronic Arts,Information Technology,Home Entertainment Software,"Redwood City, California",712515
EMR,Emerson Electric Company,Industrials,Industrial Conglomerates,"Ferguson, Missouri",32604
ENDP,Endo International,Health Care,Pharmaceuticals,"Dublin, Ireland",1100962
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",65984
EVHC,Envision Healthcare Corp,Health Care,Health Care Services,"Nashville, Tennessee",895930
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",821189
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",33213
EFX,Equifax Inc.,Financials,Diversified Financial Services,"Atlanta, Georgia",33185
EQIX,Equinix,Real Estate,REITs,"Redwood City, California",1101239
EQR,Equity Residential,Real Estate,REITs,"Chicago, Illinois",906107
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",920522
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",1001250
ES,Eversource Energy,Utilities,MultiUtilities,"Springfield, Massachusetts",72741
EXC,Exelon Corp.,Utilities,MultiUtilities,"Chicago, Illinois",1109357
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",1324424
EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics,"Seattle, Washington",746515
ESRX,Express Scripts,Health Care,Health Care Distributors,"Cool Valley, Missouri",1532063
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, UT",1289490
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",34088
FFIV,F5 Networks,Information Technology,Networking Equipment,"Seattle, Washington",1048695
FB,Facebook,Information Technology,Internet Software & Services,"Menlo Park, California",1326801
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",815556
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",34903
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1048911
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",1136893
FITB,Fifth Third Bancorp,Financials,Banks,"Cincinnati, Ohio",35527
FSLR,First Solar Inc,Information Technology,Semiconductors,"Tempe, Arizona",1274494
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",1031296
FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",798354
FLIR,FLIR Systems,Industrials,Aerospace & Defense,"Wilsonville, Oregon",354908
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",30625
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,"Irving, Texas",1124198
FMC,FMC Corporation,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",37785
FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1135152
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,"New York, New York",850209
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",37996
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",1659166
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",1519751
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",38777
FCX,Freeport-McMoran Cp & Gld,Materials,Copper,"Phoenix, Arizona",831259
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut",20520
GPS,Gap (The),Consumer Discretionary,Apparel Retail,"San Francisco, California",39911
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1121788
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",40533
GE,General Electric,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",40545
GGP,General Growth Properties Inc.,Real Estate,REITs,"Chicago, Illinois",895648
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",40704
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1467858
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",40987
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",882095
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",1123360
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",886982
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",42582
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,"Lake Forest, Illinois",277135
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",45012
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",1359841
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",793952
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",800459
HRS,Harris Corporation,Information Technology,Telecommunications Equipment,"Melbourne, Florida",202058
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",874766
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",46080
HCA,HCA Holdings,Health Care,Health Care Facilities,"Nashville, Tennessee",860730
HCP,HCP Inc.,Real Estate,REITs,"Long Beach, California",765880
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",46765
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",4447
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1645590
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",859737
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",354950
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",773840
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",48465
HST,Host Hotels & Resorts,Real Estate,REITs,"Bethesda, Maryland",1070750
HPQ,HP Inc.,Information Technology,Computer Hardware,"Palo Alto, California",47217
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",49071
HBAN,Huntington Bancshares,Financials,Banks,"Columbus, Ohio",49196
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",49826
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",1110803
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,"Dublin, Ireland",1466258
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",50863
ICE,Intercontinental Exchange,Financials,Diversified Financial Services,"Atlanta, Georgia",1571949
IBM,International Bus. Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",51143
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",51434
IPG,Interpublic Group,Consumer Discretionary,Advertising,"New York, New York",51644
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",51253
INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California",896878
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California",1035267
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",914208
IRM,Iron Mountain Incorporated,Real Estate,REITs,"Boston, Massachusetts",1020569
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,"Pasadena, California",52988
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",728535
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",91419
JNJ,Johnson & Johnson,Health Care,Health Care Equipment,"New Brunswick, New Jersey",200406
JCI,Johnson Controls International,Consumer Discretionary,Auto Parts & Equipment,"Cork, Ireland",833444
JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York",19617
JNPR,Juniper Networks,Information Technology,Networking Equipment,"Sunnyvale, California",1043604
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",54480
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",55067
KEY,KeyCorp,Financials,Banks,"Cleveland, Ohio",91576
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",55785
KIM,Kimco Realty,Real Estate,REITs,"New Hyde Park, New York",879101
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",1506307
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",319201
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",885639
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",1545158
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",56873
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",701985
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,"New York, New York",1056239
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,"Burlington, North Carolina",920148
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",707549
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,"Carthage, Missouri",58492
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",920760
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers,"Broomfield, Colorado",794323
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",96223
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",59478
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",59558
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,"Milpitas, California",791907
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",1065696
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",936468
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",60086
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",60667
LYB,LyondellBasell,Materials,Diversified Chemicals,"Rotterdam, Netherlands",1489393
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",912595
MTB,M&T Bank Corp.,Financials,Banks,"Buffalo, New York",36270
MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California",912242
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",794367
MNK,Mallinckrodt Plc,Health Care,Pharmaceuticals,"Dublin, Ireland",1567892
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",101778
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",1510295
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1048286
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",62709
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",916076
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",62996
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",1141391
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",63276
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",63754
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",63908
MCK,McKesson Corp.,Health Care,Health Care Distributors,"San Francisco, California",927653
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",1452575
MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",64670
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",310158
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",1099219
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1037646
KORS,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",1530721
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",827054
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",723125
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",789019
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",851968
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",24545
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",1103982
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",1110783
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",865752
MCO,Moody's Corp,Financials,Diversified Financial Services,"New York, New York",1059556
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",895421
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",1285785
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",68505
MUR,Murphy Oil,Energy,Integrated Oil & Gas,"El Dorado, Arkansas",717423
MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",69499
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,"New York, New York",1120193
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1021860
NAVI,Navient,Financials,Consumer Finance,"Newark, Delaware",1593538
NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California",1002047
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,"Los Gatos, California",1065280
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",814453
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas",912750
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold,"Denver, Colorado",1164727
NWSA,News Corp. Class A,Consumer Discretionary,Publishing,"New York, New York",1564708
NWS,News Corp. Class B,Consumer Discretionary,Publishing,"New York, New York",1564708
NEE,NextEra Energy,Utilities,MultiUtilities,"Juno Beach, Florida",753308
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",1492633
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",320187
NI,NiSource Inc.,Utilities,MultiUtilities,"Merrillville, Indiana",1111711
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",72207
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",72333
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",702165
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",73124
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1133421
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",1013871
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",73309
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",1045810
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",898173
